id;code;ordre;libelle;abreviation;description
1;téméraire aïe sans que;32678;à défaut de  aujourd'hui classer;mal altruiste hôte;résoudre virer
2;à l'instar de;3281;quand via plic;ici commis;rentrer
3;triangulaire;18482;bientôt hé;confondre avant de régner;prestataire de services dedans
4;juriste sincère trop;18809;vouh;sage multiple;bientôt
5;adversaire paraître gigantesque;19553;contredire avant de;rencontrer;communauté étudiante à défaut de  chauffer
6;avare alors;10779;sans doute sous couleur de;dans la mesure où;plouf
7;au prix de avant reparaître;8762;personnel professionnel;vide aussitôt que boum;rapprocher ouah
8;blablabla en de peur que;2253;hi retentir;en dépit de comme autour de;à bas de afin de plic
9;en lors de tantôt;14103;d'avec;atchoum brave quant à;pendant que vroum
10;séparer dessus sauf à;30080;à condition que remonter calme;transformer pendant que en decà de;vider peindre
